status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Declined,2,-1.199392254,-0.72279857,0.641749421,0,1,1,,10/31/2019 10:37,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,0.061431343,1.756467991,0,1,1,,10/18/2019 17:53,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-1.245618512,0.135059162,0,1,1,,9/18/2019 12:04,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,1.26391721,1.857806043,30000,70000,40000,,8/13/2019 12:48,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.382965608,-0.878321356,0,1,1,,10/14/2019 0:43,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.356824611,0.439073318,0,1,1,,10/1/2019 10:40,pending,H,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,-0.931926547,-0.270293045,105000,158000,53000,,6/18/2019 14:54,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.278401619,0.844425525,0,1,1,,11/1/2019 23:24,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,-0.199978628,0.337735266,25000,100000,75000,,6/18/2019 9:29,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,-0.461388599,1.047101628,50000,58500,8500,,9/24/2019 20:29,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.199392254,0.139854335,0.135059162,0,1,1,,10/30/2019 14:28,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
